,song_title,artist,genre,popularity
0,New Year 2021,Yournalist,,100
1,Departure into the Year 2021,MS2020,,80
2,Year 2021 - Average Town,Wizet,,80
3,A State of Trance Year Mix 2021 (intro - Learn to dance Again),Armin van Buuren,,34
4,A State of Trance Year Mix 2021 (outro - Power of the Present),Armin van Buuren,,34
5,"Turn On, Tune In, Drop Out",Doppler 2021,,34
6,2021,Star☆T,,33
7,2021,Alex Seifert,,33
8,2021,Alex Seifert,,33
9,2021,Tom Fahy,,33
10,2021,Think Again,,33
11,2021,Merrym'n,,33
12,2021,Screamer,,33
13,2021,Yassine Stein,,33
14,2021,Floral,,33
15,2021,POLTA,,33
16,2021,Cenzontle,,33
17,2021,Deepest Pussy,,33
18,2021,White Stains,,33
19,2021,PIH,,33
20,2021,Anbaric,,33
21,2021,Mikhail & The Laser Brothers,,33
22,2021,Lord Cernunnos,,33
23,2021,Sofiabot,,33
24,2021,Nico Loreto,,33
25,2021,Sappow,,33
26,2021,Comic Book,,33
27,2021,Gladyson Panther,,33
28,2021,Hamid Shojaei,,33
29,2021,Domino,,33
30,2021,Trobi,,33
31,2021,Frank Casino,,33
32,2021,Starscixn,,33
33,2021,Edo Saiya,,33
34,2021,Toxxx,,33
35,2021,The OST,,33
36,2021,Microsha 89,,33
37,2021,Antenna,,33
38,2021,LÜCY,,33
39,2021,Pipsqueak,,33
40,2021,Izaya Tiji,,33
41,2021,Kuttem Reese,,33
42,2021,Gustav Lundgren,,33
43,2021,YSR Gramz,,33
44,2021,Lauv,,33
45,2021,Suumhow,,33
46,2021,Tha Soloist,,33
47,2021,Goose,,33
48,2021,Goose,,33
49,2021,Goose,,33
50,2021,Liliane Chlela,,33
51,2021,Straightjacket Nation,,33
52,2021,A. G. Cook,,33
53,2021,Acidgvrl,,33
54,2021,ジャパニーズマゲニーズ,,33
55,20′21″,CoH,,33
56,2021,Rumahsakit,,33
57,2021,Jayestate,,33
58,2021,J4CKG,,33
59,2021,Malin Nordmark,,33
60,2021,Moth,,33
61,2021,Vampire Weekend,,33
62,2021,daniel.mp3,,33
63,2021,Saint Martyn,,33
64,Year Year Year,Jeanne Mas,,32
